 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Carbon Composite.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5000E+00 g/cm3 = 9.3466E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    022.62    002.36   
      C      6    073.81    091.73   
      O      8    003.57    005.91   
 ====================================
 Bragg Correction = -3.61%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  90.00 MeV   7.290E-03  2.892E-06   46.00 mm     2.07 mm     1.12 mm  
 100.00 MeV   6.735E-03  2.625E-06   55.50 mm     2.48 mm     1.34 mm  
 110.00 MeV   6.276E-03  2.404E-06   65.74 mm     2.88 mm     1.58 mm  
 120.00 MeV   5.890E-03  2.219E-06   76.70 mm     3.29 mm     1.83 mm  
 130.00 MeV   5.560E-03  2.062E-06   88.33 mm     3.69 mm     2.10 mm  
 140.00 MeV   5.275E-03  1.926E-06  100.63 mm     4.10 mm     2.38 mm  
 150.00 MeV   5.026E-03  1.807E-06  113.56 mm     4.51 mm     2.67 mm  
 160.00 MeV   4.807E-03  1.703E-06  127.11 mm     4.91 mm     2.98 mm  
 170.00 MeV   4.613E-03  1.610E-06  141.25 mm     5.33 mm     3.29 mm  
 180.00 MeV   4.439E-03  1.527E-06  155.97 mm     5.74 mm     3.62 mm  
 200.00 MeV   4.143E-03  1.386E-06  187.03 mm     7.27 mm     4.31 mm  
 225.00 MeV   3.844E-03  1.243E-06  228.76 mm     9.41 mm     5.22 mm  
 250.00 MeV   3.603E-03  1.127E-06  273.51 mm    11.39 mm     6.18 mm  
 275.00 MeV   3.405E-03  1.032E-06  321.05 mm    13.27 mm     7.18 mm  
 300.00 MeV   3.240E-03  9.523E-07  371.19 mm    15.10 mm     8.23 mm  
 325.00 MeV   3.100E-03  8.843E-07  423.73 mm    16.89 mm     9.32 mm  
 350.00 MeV   2.980E-03  8.256E-07  478.52 mm    18.64 mm    10.43 mm  
 375.00 MeV   2.876E-03  7.744E-07  535.41 mm    20.36 mm    11.58 mm  
 400.00 MeV   2.785E-03  7.295E-07  594.25 mm    22.06 mm    12.75 mm  
 450.00 MeV   2.634E-03  6.539E-07  717.24 mm    28.20 mm    15.16 mm  
 500.00 MeV   2.514E-03  5.930E-07  846.67 mm    33.73 mm    17.64 mm  
 550.00 MeV   2.417E-03  5.428E-07  981.79 mm    38.88 mm    20.17 mm  
 600.00 MeV   2.337E-03  5.006E-07    1.12 m     43.76 mm    22.74 mm  
 650.00 MeV   2.271E-03  4.647E-07    1.27 m     48.41 mm    25.34 mm  
 700.00 MeV   2.214E-03  4.337E-07    1.42 m     52.89 mm    27.97 mm  
 800.00 MeV   2.125E-03  3.830E-07    1.72 m     68.64 mm    33.24 mm  
 900.00 MeV   2.059E-03  3.432E-07    2.04 m     82.30 mm    38.52 mm  
   1.00 GeV   2.008E-03  3.111E-07    2.37 m     94.64 mm    43.77 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.5000E+01                 eV / Angstrom 
  1.5000E+02                keV / micron   
  1.5000E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.6048E+01                 eV / (1E15 atoms/cm2)
  8.0274E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
